"condition_id","composition","n","R2","learner","auroc_true.auroc","auroc_naive.auroc","auroc_subject.auroc","brier_true.brier","brier_naive.brier","brier_subject.brier","u_raw","u_q4","n_classes","max_class","prevalence","n_valid","mcse_auroc_naive"
72,"3 continuous + 2 binary",200,0.15,"xgboost",0.605972753981313,0.99800517097587,0.597177153078833,0.267312284443816,0.0639062323470189,0.270051291434977,1,0.06372,200,1,0.48115,500,0.000870157918719878
73,"2 continuous + 3 binary",200,0.15,"xgboost",0.606270246515794,0.995472908855393,0.596829997231535,0.266725631913672,0.0732389097579788,0.269624744637872,1,0.00045,200,1,0.48271,500,0.000858008270237581
74,"1 continuous + 4 binary",200,0.15,"xgboost",0.611187392727427,0.97100943817676,0.597894010121701,0.263696446881547,0.102178802987681,0.268264583827279,1,0,200,1,0.48078,500,0.000948670340544195
75,"5 binary",200,0.15,"xgboost",0.63796984038092,0.775005922871844,0.620067476133987,0.248591889681357,0.188521392137931,0.252514913068727,0.00183,0,31.95,11.946,0.48065,500,0.00133358079734461
76,"5 continuous",50,0.3,"xgboost",0.643799277141856,1,0.617949170092802,0.303683884565083,0.00166933794402724,0.307564888400605,1,0.96496,50,1,0.48132,500,0.00149215654658801
77,"3 continuous + 2 binary",50,0.3,"xgboost",0.636987114144765,1,0.608577187769353,0.306298490286576,0.00337428329994503,0.311810438901664,1,0.55964,50,1,0.48344,500,0.00153889504997282
78,"2 continuous + 3 binary",50,0.3,"xgboost",0.635360699916935,1,0.610740933194739,0.305782965378333,0.005001143509491,0.309787385977551,1,0.10036,50,1,0.47968,500,0.0017139905537727
79,"1 continuous + 4 binary",50,0.3,"xgboost",0.6436129985041,1,0.612594728535203,0.300997003208741,0.0120859701414034,0.309057013472869,1,0.00332,50,1,0.47832,500,0.00168463217240855
80,"5 binary",50,0.3,"xgboost",0.671037277454048,0.924809934171736,0.639955689849099,0.28635791919129,0.100409089194799,0.296895489582456,0.20696,0.00016,25.38,4.65,0.48164,500,0.00197520179774069
81,"5 continuous",100,0.3,"xgboost",0.667602573583694,1,0.650152631378312,0.265394130317671,0.0127328350863747,0.270879187521563,1,0.92012,100,1,0.48212,500,0.00114395939514073
82,"3 continuous + 2 binary",100,0.3,"xgboost",0.661426927310224,1,0.643288492136602,0.266761497355652,0.0184277703058634,0.272709135838814,1,0.25858,100,1,0.48094,500,0.00124731961195673
83,"2 continuous + 3 binary",100,0.3,"xgboost",0.661675847425377,0.999983154011294,0.639045016838778,0.265498643416547,0.0244106961696848,0.274315773465494,1,0.0127,100,1,0.48206,500,0.00124253172008378
84,"1 continuous + 4 binary",100,0.3,"xgboost",0.670270184892742,0.999114042430363,0.652498146223375,0.260525105257927,0.0432212776366489,0.266481973776637,1,0.00048,100,1,0.48258,500,0.00121320495420666
85,"5 binary",100,0.3,"xgboost",0.69596218294952,0.874738167287732,0.675734587364166,0.244856848633994,0.138193075634537,0.252067269409076,0.04306,0,30.788,7.28,0.47646,500,0.00164727165962245
86,"5 continuous",200,0.3,"xgboost",0.692808306111767,0.999556722373263,0.682211081550652,0.238162006066533,0.0414752226272525,0.241570811168454,1,0.83342,200,1,0.47968,500,0.000746055952994945
87,"3 continuous + 2 binary",200,0.3,"xgboost",0.688972801984615,0.998616194475942,0.675325395811867,0.238431575657108,0.0510838059998465,0.243618581551259,1,0.06193,200,1,0.48112,500,0.000839442094361537
88,"2 continuous + 3 binary",200,0.3,"xgboost",0.688750482401111,0.996239656718334,0.676356317914395,0.238302079941879,0.0601899991087149,0.242500431137175,1,0.00053,200,1,0.47948,500,0.000823678247921705
89,"1 continuous + 4 binary",200,0.3,"xgboost",0.697188912548572,0.978018104797125,0.683810355993975,0.233906596129422,0.0851435674798074,0.238213071977577,1,0,200,1,0.47745,500,0.000753982359978625
90,"5 binary",200,0.3,"xgboost",0.727492721014313,0.826801491628624,0.710167101754975,0.217930762576964,0.165275293254721,0.221553743787789,0.00185,0,31.954,11.984,0.4788,500,0.00132123850691961
