"condition_id","n","p_L","ICC","rho","u_q4","u_q10","stab_q4","stab_q10","nn_subj","nn_row","mcse_u_q4","mcse_u_q10","mcse_stab_q4","mcse_stab_q10","mcse_nn_subj","mcse_nn_row"
77,200,2,0.7,0.3,0,0.149134660176281,0.466283002794621,0.158748259343664,0.122329210971626,0.06305,0,0.000717905994798468,0.00135141940453673,0.000833281802822398,0.000683667422459866,0.000365997943567584
78,200,2,0.9,0.3,0,0.147988898572886,0.668588587237511,0.32737756732287,0.280298684916612,0.152775,0,0.000928769208748783,0.00140879128877236,0.00118676078289693,0.00106253578549474,0.000647932706609882
79,200,2,0.95,0.3,0,0.148649842778152,0.758882738071671,0.449894954023371,0.412230109722567,0.243159166666667,0,0.000904571136964558,0.00119651851918384,0.0013170604605847,0.00128694540268564,0.000868200467189672
80,200,2,0.99,0.3,0,0.147892779681949,0.88190400763478,0.698890374228598,0.738894600832608,0.559123333333333,0,0.000941555222755934,0.000844055203854824,0.00123329636430605,0.00125376784356958,0.00123251604954877
81,200,2,1,0.3,0,0.147004071793601,1,1,1,1,0,0.00112673492335967,0,0,0,0
82,200,2,0,0.7,0,0.147984028408506,0.161915526590117,0.0352071325844228,0.0222659014923201,0.014215,0,0.000493674329745115,0.000754837352891513,0.000391888802730261,0.000256300315699135,0.000134176511078019
83,200,2,0.1,0.7,2.59067357512953e-06,0.147963769046089,0.204465232458672,0.047589567018087,0.0314152065574712,0.01835,2.59067357512953e-06,0.000569183939454474,0.000864526506578127,0.00044082346268342,0.000296621297170368,0.000144468064898594
84,200,2,0.3,0.7,0,0.148888723408568,0.284768046111383,0.0759740673566689,0.0534669224265076,0.0281766666666667,0,0.000613939574464199,0.00100799795203897,0.00053395854627243,0.000419567117021623,0.000191910085032075
85,200,2,0.5,0.7,0,0.147768978430301,0.37999445011394,0.115747537636319,0.0847994061786871,0.0427658333333333,0,0.000674290699621549,0.00117800858799785,0.000594495992429752,0.00049360602203199,0.000236373758570885
86,200,2,0.7,0.7,0,0.147107171232636,0.497219743870947,0.180052740576094,0.141392460588904,0.0710108333333333,0,0.000790136369067189,0.00129867859561887,0.000874324284506128,0.000731162708109834,0.000365052938765899
87,200,2,0.9,0.7,0,0.147542147637366,0.691090339267991,0.354980788402208,0.309099592662262,0.166786666666667,0,0.000845745479541547,0.00126960299305265,0.00124780316179423,0.00112976818741703,0.000734150564888632
88,200,2,0.95,0.7,0,0.14827082190494,0.773374187703233,0.477213223564031,0.442618263023228,0.2619375,0,0.000902234189945339,0.00126702464173626,0.00139263228137009,0.00141658214903706,0.000947590495082524
89,200,2,0.99,0.7,0,0.148655603693681,0.889468518035776,0.713334668990905,0.758628211231634,0.584053333333333,0,0.000895277209932234,0.000877887207570665,0.00122974106059638,0.00118949831433513,0.00124023025185256
90,200,2,1,0.7,0,0.150391367839339,1,1,1,1,0,0.000990389738292561,0,0,0,0
91,200,5,0,0.3,0.840599452414476,0.998421154301945,0.00237215514138853,4.9622332124062e-05,0.0134591639811348,0.00979833333333333,0.00097415531938768,9.10330793028194e-05,8.02712576085222e-05,1.1468565070514e-05,0.000198356985197255,0.000100338553095496
92,200,5,0.1,0.3,0.840219787060103,0.998303669122224,0.00897640446758952,0.000184575599454636,0.0542282125462699,0.025285,0.0011510445247233,9.07156412952756e-05,0.000151656420023811,2.30028245284875e-05,0.000430717243731426,0.000173424912993139
93,200,5,0.3,0.3,0.839978331597786,0.998476411570635,0.0305400445048471,0.000888300434704774,0.177917702650441,0.0696075,0.00145008235999285,0.000105443078690586,0.000323639797747653,4.85612846092384e-05,0.000799881002302937,0.00032312876133
94,200,5,0.5,0.3,0.841037458928027,0.998687106125993,0.0723995052959351,0.00336544812001637,0.364226722962438,0.1514275,0.00169773476203073,0.00010733961585442,0.000564741578001639,0.000103920950459051,0.00124977578921847,0.000587851107410311
95,200,5,0.7,0.3,0.842797910579469,0.998314753232637,0.15628838473028,0.0112757289964739,0.625999313081772,0.3248725,0.00173257484085364,0.00014127128000879,0.000819046461425502,0.000206630546621669,0.00112927935492873,0.000934637293160023
96,200,5,0.9,0.3,0.841876692700796,0.998664018274274,0.376073002144569,0.0684405579446874,0.927326202997498,0.762469166666667,0.00218478089681381,0.000167379306592573,0.00131110004259247,0.000482244402973457,0.000686857053042999,0.00119979879053623
97,200,5,0.95,0.3,0.839348425120842,0.998515044200727,0.507862509730334,0.146179309568538,0.981468017441801,0.926445,0.00204659136920162,0.000195024766535195,0.00132585597835011,0.000813359901968819,0.000298139068120221,0.000645442197979369
98,200,5,0.99,0.3,0.841165452464658,0.998550400343687,0.730406799576512,0.411603538367471,0.999537874945023,0.998150833333333,0.00223093733819579,0.000184610254475669,0.00109737357216694,0.00118314426052614,4.34055268230838e-05,8.04492333445674e-05
99,200,5,1,0.3,0.843367793996434,0.998624731728133,1,1,1,1,0.0021025234178248,0.000195338413685863,0,0,0,0
100,200,5,0,0.7,0.842274615384213,0.998464737693231,0.0114526530580883,0.000274392387090033,0.0699889019822361,0.029615,0.00130999151255658,0.000102409788428906,0.000205972867240544,2.6968774399337e-05,0.000494840153761396,0.000172232807981436
101,200,5,0.1,0.7,0.840708909784676,0.998525780844166,0.020479546079443,0.000604634534000955,0.122527014281067,0.0471508333333333,0.00145088117235034,9.20040656048786e-05,0.000254495500371325,4.2783918995732e-05,0.000691899006978788,0.000250949057040429
102,200,5,0.3,0.7,0.839221768154596,0.998507031723422,0.0480265631003718,0.00186321026152513,0.258628464492724,0.0975141666666667,0.00157171308656935,0.000108436940132826,0.000414680080717295,7.74928079470916e-05,0.000933494282552029,0.00043708557383582
103,200,5,0.5,0.7,0.841633780633037,0.998496848264241,0.0954640545078573,0.0050945685675301,0.442925667279118,0.189179166666667,0.0017018902696936,0.000131858325231939,0.000653249731261242,0.000135285003204355,0.00129243067026341,0.000705120002280361
104,200,5,0.7,0.7,0.841640925307632,0.998648444509958,0.184748020215945,0.01626978466031,0.680658134393524,0.373358333333333,0.00184833179795735,0.000139228613670439,0.00103935330230458,0.000219751257443537,0.00123696742005607,0.00114590204605912
105,200,5,0.9,0.7,0.84150747649246,0.99806379408684,0.403130530335791,0.0828016589467258,0.941223235817987,0.802516666666667,0.00210233168414117,0.000192811896917115,0.0012118996928554,0.00050990306389174,0.000590743098327731,0.00105086707439152
106,200,5,0.95,0.7,0.838489755312777,0.998293545636813,0.528980503309873,0.167382606524466,0.985410879192081,0.941953333333333,0.00199128320303135,0.00019036851571126,0.00143023505583523,0.000892642313349723,0.000250136076682234,0.000560140964949165
107,200,5,0.99,0.7,0.836999058137635,0.998706416829944,0.747551563771964,0.437859697454776,0.999595220156204,0.998556666666667,0.00216560340173474,0.000168903061939962,0.0012935963030331,0.00126966204841738,3.78090997625344e-05,7.60506164279628e-05
108,200,5,1,0.7,0.842824264153995,0.998450833276829,1,1,1,1,0.00189802294324613,0.000200713651115289,0,0,0,0
