"condition_id","fixed_comp","p_L","ICC","rho","n","p_F","s_F","s_L","s_joint","nnrow_F","nnrow_L","nnrow_joint","mcse_s_F","mcse_s_L","mcse_s_joint","mcse_nnrow_F","mcse_nnrow_L","mcse_nnrow_joint","increment"
105,"2 continuous",5,0.9,0.3,100,2,1,0.956876054573359,0.997365026276711,1,0.84634,0.985395,0,0.000758854620377676,0.00013457445198556,0,0.0014371379523683,0.000287192434955555,-0.00263497372328914
106,"5 continuous",5,0.9,0.3,100,5,1,0.955364741432905,0.999984370476914,1,0.842663333333333,0.999745,0,0.000721401229970198,8.97956877165629e-06,0,0.00139149323887536,2.78563656595946e-05,-1.56295230858694e-05
107,"2 continuous + 3 binary",5,0.9,0.3,100,5,1,0.956929362668885,0.999630719930163,1,0.847731666666667,0.997923333333333,0,0.000627071704057874,4.48045141663644e-05,0,0.00127496991457919,9.86426585848418e-05,-0.00036928006983683
108,"5 binary",5,0.9,0.3,100,5,0.317154277614945,0.957084557491142,0.998190116367155,0.317405,0.84721,0.9922,0.000845507275669734,0.000687828417868967,0.000124196328973184,0.000861026867693457,0.00129928320658788,0.000259428569320275,0.0411055588760132
109,"none",2,0.3,0.7,100,0,NA,0.0903365865900821,0.0903365865900821,NA,0.0498133333333333,0.0498133333333333,NA,0.000873188654472777,0.000873188654472777,NA,0.000410931314147458,0.000410931314147458,0
110,"1 continuous",2,0.3,0.7,100,1,1,0.0925179688144876,0.33940484484863,1,0.0507183333333333,0.191651666666667,0,0.000786750074972821,0.00149131014727076,0,0.000404201120118815,0.000882158592772809,-0.66059515515137
111,"2 continuous",2,0.3,0.7,100,2,1,0.0923767372549659,0.61562425280462,1,0.0501683333333333,0.402205,0,0.000802678177364363,0.0017246938536137,0,0.000382073141608783,0.00154053671298104,-0.38437574719538
112,"5 continuous",2,0.3,0.7,100,5,1,0.0898501510495353,0.959332096661295,1,0.0498633333333333,0.87174,0,0.00076838493145879,0.000667178739069895,0,0.000367891892333121,0.00115415681139175,-0.0406679033387054
113,"2 continuous + 3 binary",2,0.3,0.7,100,5,1,0.0905458093593844,0.865293538403698,1,0.0498333333333333,0.725893333333333,0,0.000776129964764694,0.00128000371865992,0,0.00040640461667056,0.00151533158607131,-0.134706461596302
114,"5 binary",2,0.3,0.7,100,5,0.31818593508329,0.09092936536054,0.67395074645366,0.318266666666667,0.051045,0.553208333333333,0.000754242598075528,0.000763723175019095,0.00190008112749715,0.000796737484850245,0.000370587213415504,0.00153377831555705,0.35576481137037
115,"none",5,0.3,0.7,100,0,NA,0.353016041788958,0.353016041788958,NA,0.152156666666667,0.152156666666667,NA,0.00166278184412475,0.00166278184412475,NA,0.000812747097675195,0.000812747097675195,0
